SEASON,SECTOR,PERMIT_NUMBER,RIGHT_NUMBER,PERMIT_STATUS_NAME,Quota_code
2017-2018,WCRLN,1710680,WCNF151058,Expired,0
2017-2018,WCRLN,1710683,WCNF150042,Expired,0
2017-2018,WCRLN,1710686,WCNF152492,Expired,0
2017-2018,WCRLN,1710690,WCNF151209,Expired,0
2017-2018,WCRLN,1710692,WCNF150596,Expired,0
2017-2018,WCRLN,1710694,WCNF150770,Expired,0
2017-2018,WCRLN,1710696,WCNF150563,Cancelled,0
2017-2018,WCRLN,1710698,WCNF151185,Expired,0
2017-2018,WCRLN,1710700,WCNF150215,Expired,0
2017-2018,WCRLN,1710702,WCNF150953,Expired,0
2017-2018,WCRLN,1710704,WCNF150010,Expired,0
2017-2018,WCRLN,1710706,WCNF150327,Expired,0
2017-2018,WCRLN,1710708,WCNF150984,Expired,0
2017-2018,WCRLN,1710710,WCNF150501,Expired,0
2017-2018,WCRLN,1710712,WCNF150334,Expired,0
2017-2018,WCRLN,1710714,WCNF150979,Expired,0
2017-2018,WCRLN,1710716,WCNF150328,Expired,0
2017-2018,WCRLN,1710718,WCNF150036,Expired,0
2017-2018,WCRLN,1710720,WCNF151157,Expired,0
2017-2018,WCRLN,1710722,WCNF152163,Expired,0
2017-2018,WCRLN,1710724,WCNF152703,Expired,0
2017-2018,WCRLN,1710741,WCND151712,Expired,0
2017-2018,WCRLN,1710742,WCND151211,Cancelled,0
2017-2018,WCRLN,1710743,WCNF152757,Expired,0
2017-2018,WCRLN,1710752,WCND151187,Expired,0
2017-2018,WCRLN,1710765,WCNB151151,Cancelled,0
2017-2018,WCRLN,1710769,WCNC15516,Expired,0
2017-2018,WCRLN,1710792,WCND151250,Expired,0
2017-2018,WCRLN,1710793,WCNF150709,Expired,0
2017-2018,WCRLN,1710805,WCNA15255,Expired,0
2017-2018,WCRLN,1710809,WCNF152676,Expired,0
2017-2018,WCRLN,1710811,WCNF156011,Expired,0
2017-2018,WCRLN,1710813,WCNF151130,Expired,0
2017-2018,WCRLN,1710814,WCNF151806,Expired,0
2017-2018,WCRLN,1710815,WCNF151129,Expired,0
2017-2018,WCRLN,1710822,WCND151364,Expired,0
2017-2018,WCRLN,1710823,WCND151098,Expired,0
2017-2018,WCRLN,1710824,WCND150811,Expired,0
2017-2018,WCRLN,1710825,WCND151363,Expired,0
2017-2018,WCRLN,1710826,WCND151361,Expired,0
2017-2018,WCRLN,1710827,WCND151734,Cancelled,0
2017-2018,WCRLN,1710828,WCND151365,Expired,0
2017-2018,WCRLN,1710829,WCND151819,Expired,0
2017-2018,WCRLN,1710830,WCNB15594,Expired,0
2017-2018,WCRLN,1710831,WCNC15532,Expired,0
2017-2018,WCRLN,1710832,WCND151330,Cancelled,0
2017-2018,WCRLN,1710834,WCNB15625,Expired,0
2017-2018,WCRLN,1710835,WCND150214,Expired,0
2017-2018,WCRLN,1710836,WCND151384,Cancelled,0
2017-2018,WCRLN,1710844,WCND151070,Expired,0
2017-2018,WCRLN,1710852,WCNB15367,Cancelled,0
2017-2018,WCRLN,1710866,WCNF151228,Expired,0
2017-2018,WCRLN,1710868,WCNB151634,Expired,0
2017-2018,WCRLN,1710869,WCNB15485,Expired,0
2017-2018,WCRLN,1710870,WCNB15720,Expired,0
2017-2018,WCRLN,1710875,WCNB15173,Expired,0
2017-2018,WCRLN,1710886,WCNF150545,Expired,0
2017-2018,WCRLN,1710887,WCNB151605,Expired,0
2017-2018,WCRLN,1710900,WCND150702,Expired,0
2017-2018,WCRLN,1710912,WCND151701,Deleted,0
2017-2018,WCRLN,1710913,WCNC15985,Awaiting approval,0
2017-2018,WCRLN,1710914,WCNE151552,Expired,0
2017-2018,WCRLN,1800733,WCND151701,Expired,0
2017-2018,WCRLN,1800763,WCND150646,Cancelled,0
2017-2018,WCRLN,1800764,WCND150662,Expired,0
2017-2018,WCRLN,1800814,WCNB15494,Expired,0
2017-2018,WCRLN,1800816,WCNB15712,Expired,0
2017-2018,WCRLN,1800818,WCNB15361,Expired,0
2017-2018,WCRLN,1800819,WCND151741,Cancelled,0
2017-2018,WCRLN,1800820,WCND151096,Expired,0
2017-2018,WCRLN,1800822,WCNE151552,Deleted,0
2017-2018,WCRLN,1800831,WCND150301,Expired,0
2017-2018,WCRLN,1800862,WCND150123,Cancelled,0
2017-2018,WCRLN,1800864,WCND151387,Cancelled,0
2017-2018,WCRLN,1800865,WCNE150554,Cancelled,0
2017-2018,WCRLN,1800869,WCND150326,Expired,0
2017-2018,WCRLN,1800870,WCND150317,Expired,0
2017-2018,WCRLN,1800871,WCND150324,Expired,0
